Station,dist_to_clear_km
1001,230.982733696768
1002,230.083326800772
1003,229.23402476524913
1004,228.43417306573951
1005,227.5060234518488
1006,226.55632196199352
1007,225.731592188172
1008,224.9551162711713
1009,223.9451659087986
1010,222.96419912741092
1011,221.98277203338324
1012,220.96364862999752
1013,220.09793778100337
1014,219.19233650338217
1015,218.2318829236955
1016,217.36634140576598
1017,216.47187833468735
1018,215.48630563181038
1019,214.52615705889139
1020,213.6333522905355
1021,212.66205679799828
1022,211.6738459516009
1023,210.70155501744745
1024,209.7481507855044
1025,208.7818395122484
1026,207.78356849020173
1027,206.86070859408454
1028,205.96258463545766
1029,205.14515320687894
1030,204.3304826615596
1031,203.3589614652767
1032,202.41924817530293
1033,201.4093478771699
1034,200.51016499772504
1035,199.58606884077392
1036,198.6083980695088
1037,197.76038257028267
1038,196.84637567145515
1039,195.82081671662002
1040,194.8974560938918
1041,193.9519007182698
1042,193.11829020121996
1043,192.3566811613783
1044,191.60597680091965
1045,190.63065365700328
1046,189.64869719070555
1047,188.69005598226073
1048,187.89467858070168
1049,186.88136629141377
1050,186.12784592218156
1051,185.29040487666182
1052,184.47045565323734
1053,183.55112505295602
1054,182.74114790818194
1055,181.88416570274543
1056,181.2168284322981
1057,180.3890681276978
1058,179.58267730332403
1059,178.84231543619836
1060,177.95167837320733
1061,177.13015698157795
1062,176.32163208543673
1063,175.45460097012062
1064,174.61042945894073
1065,173.77606348240565
1066,173.07083785393232
1067,172.25438915344313
1068,171.51031872009548
1069,170.57136669382587
1070,169.58352270940452
1071,168.5895048180454
1072,167.61970943344656
1073,166.7701492829046
1074,166.11327428821687
1075,165.15180894900533
1076,164.9880614116724
1077,164.4766929097486
1078,163.66228079715106
1079,162.9672536036608
1080,162.4160580165234
1081,161.5950290959929
1082,160.74249489653027
1083,159.76687403066168
1084,158.7978561880158
1085,157.8536638141363
1086,156.9603500561172
1087,155.98945074686702
1088,155.1222614601916
1089,154.34879096588537
1090,153.3989906239747
1091,152.38744333850775
1092,151.38862674541863
1093,150.46146502813352
1094,149.72184177901062
1095,148.65944364772517
1096,147.76752849441536
1097,146.75576820152233
1098,145.7436427450445
1099,144.77085961727843
1100,143.88602925119923
1101,143.0483402369085
1103,141.42270721648154
1104,140.2592698477544
1105,139.38134514746667
1106,138.40586998923342
1107,137.50742324828548
1108,136.6254939367862
1109,135.7113847161733
1110,134.89530639370798
1111,134.0799703941522
1112,133.06122330832727
1113,132.3380081098435
1114,131.56075782625058
1115,130.73700949528222
1116,129.93977994545062
1117,129.09507468736095
1118,128.07626083980378
1119,127.1336174830307
1120,126.18247764727906
1121,125.38137063792624
1122,124.62264208747905
1123,123.78442053039728
1124,123.09396529320517
1125,122.33379690118305
1126,121.47590162386528
1127,120.63085996966595
1128,119.91896659972366
1130,118.19099179281223
1131,117.36292737692798
1132,116.52550151395253
1133,115.56266865013659
1134,114.67353512445872
1135,113.79096703396549
1136,112.93177746565013
1137,112.24826329384886
1138,111.62311588192573
1139,110.83453378629828
1140,110.13785158812743
1141,109.4107063293307
1142,108.79778050880685
1143,108.1461806428033
1144,107.62068847641602
1145,107.07753160802964
1146,106.53844260612493
1147,106.13325183195305
1148,105.46922072810341
1149,105.00224137838543
1150,104.833867087349
1151,104.4699707176414
1152,104.15836574466809
1153,103.60786719157556
1154,102.89552360420461
1155,102.05573429457868
1156,101.12709321859849
1157,100.16833548254634
1158,99.16521234632252
1159,98.31321245876815
1160,97.7463148452955
1161,97.1115117558091
1162,96.60671733795229
1163,96.25721558746885
1164,95.43262571375917
1165,94.34703578611087
1166,93.40466030712825
1167,92.4463728647694
1168,91.55332633231826
1169,90.42183879952458
1170,89.66406061683125
1171,88.79781985994228
1172,87.7802198251023
1173,86.80051792499263
1174,85.83160040807606
1175,84.92653264809901
1176,83.93673913506846
1177,83.06605666624284
1178,82.10986691068919
1179,81.17809809699492
1180,80.21367627209834
1181,79.46313019663388
1182,78.62437965251168
1183,77.60547998243406
1184,76.67128774216427
1185,75.71112599477713
1186,74.91346052549841
1187,74.34189911682134
1188,73.44530951923969
1189,72.63055434963469
1190,71.83863199751909
1191,70.97685551521809
1192,70.14750470662378
1193,69.47654013872065
1194,68.6429992728163
1195,67.75966075994207
1196,66.73508386810018
1197,65.8425173410922
1199,64.07761201208625
1200,63.10454594690407
1201,62.098409516385004
1202,61.20071517495335
1203,60.21370694008221
1204,59.267603275928835
1205,58.294231766270556
1206,57.35969814714768
1207,56.88248624435463
1208,56.4368651953407
1209,55.63929267538452
1211,54.0496412571274
1212,53.10506609193615
1213,52.12120578768834
1214,51.32798408993777
1215,50.252036192806266
1216,49.23806783684158
1217,48.41087269340352
1218,47.472063433950154
1219,46.66355059957847
1220,45.92366032247081
1221,45.11338730422308
1222,44.37444887799102
1223,43.479204038247794
1224,42.60893633990857
1225,41.910148197990054
1226,41.02678716647994
1227,40.0998054618889
1228,39.185386969796845
1229,38.057197762110945
1230,37.1440761377854
1231,36.43689374344562
1232,35.504866935950524
1233,34.64355848599925
1234,33.669093539764226
1235,32.70665003889387
1236,31.725889054967137
1237,31.1275324202123
1238,30.58315604239077
1239,29.85546255455025
1240,29.1001931821388
1241,28.282078522507458
1242,27.48638256695642
1243,27.001882137250632
1244,26.338804407000982
1245,25.508028066167313
1246,24.90321446289477
1247,24.207796792941526
1248,23.298676104021574
1249,22.73561884093747
1250,22.334111918164446
1251,21.832727014499202
1252,21.260847903740686
1253,20.634108665764856
1254,19.984576413898395
1255,19.447155840370648
1256,18.658047225863157
1257,17.958930930597933
1258,17.301427820571597
1259,16.425843581972416
1260,15.729124822362834
1261,14.662767443774767
1262,13.68033681299289
1263,12.775419358170016
1264,11.720747056444763
1265,10.686933777503398
1266,9.67617410872187
1267,8.773101063684546
1268,7.823907058391558
1269,6.910738289038627
1270,5.938268312560222
1271,4.972394495473636
1272,3.981938523337299
1273,3.097322957376086
1274,2.2211710811704544
1275,1.4763360683256685
1276,1.1398279514853409
1277,1.6030318592028108
1278,2.4919438915422267
1279,3.5710618504284786
1280,4.541724360180872
1281,5.475477124807767
1282,6.206397996356968
1283,7.003633585492328
1284,7.971397516609387
1285,8.94385748006708
1286,9.958231553175397
1287,10.827208962993122
1288,11.58359014811913
1289,12.51336592157252
1290,13.31738254196294
1291,14.355542974128758
1292,15.364704424838301
1293,16.232214650262463
1294,17.305902569915833
1295,18.023866921649383
1296,18.728521694281206
1297,19.737496397627133
1298,20.602132795280863
1299,21.548882574711744
1300,22.571872919935643
1301,23.52199183461601
1302,24.481510591483776
1303,25.24662531836787
1304,26.604204664765298
1305,27.390140815437682
1306,28.191737428169706
