Station,dist_to_town_km
1001,8.657328446865641
1002,8.262752907609077
1003,8.0954330743534
1004,7.7934082897996895
1005,7.859854585252853
1006,8.07208110513039
1007,8.193360541365951
1008,8.371563139212688
1009,9.11740947443424
1010,9.851440114736528
1011,10.672911401342633
1012,11.490229485793106
1013,12.133015092915118
1014,12.874542433615426
1015,13.720031695909347
1016,14.448722992358698
1017,15.25981478449305
1018,16.20301492947174
1019,17.119221336707895
1020,17.962838351561317
1021,18.913836761627348
1022,19.463578800434746
1023,19.11445505331551
1024,18.724483623875653
1025,18.457310356487746
1026,18.598249775779628
1027,18.98907077580272
1028,19.44089797108355
1029,20.050810970789524
1030,20.034233012153713
1031,20.74658303963526
1032,21.144826013233335
1033,21.910807319430493
1034,22.362076017812033
1035,22.364067613355804
1036,23.076736126182677
1037,23.812733550592192
1038,24.521512476119838
1039,25.000887897707962
1040,25.82123694099354
1041,26.632073932668835
1042,27.513283014202003
1043,28.456487590804187
1044,29.39941673651737
1045,29.993824725509366
1046,30.467786910840072
1047,30.797987681814707
1048,30.902263007567605
1049,31.53191103563222
1050,31.619749495246637
1051,31.793446984830283
1052,32.03093174244971
1053,32.512437042414966
1054,32.83761573964306
1055,33.1699067388475
1056,33.312348197931726
1057,33.63377113131045
1058,34.03889926642998
1059,34.38437886859763
1060,34.951541150767845
1061,35.45559164930585
1062,35.949868757829904
1063,36.50975250590305
1064,37.112823645954876
1065,37.65650481898634
1066,38.15501254976763
1067,38.7492506547561
1068,39.28904251184504
1069,40.112210232464484
1070,41.007206448909024
1071,41.9556231414002
1072,42.922863827116444
1073,43.65093363118473
1074,44.152480883378175
1075,45.0385274923799
1076,45.05256870752326
1077,45.45390437516521
1078,46.212000682541266
1079,46.83392216348592
1080,47.33435351458129
1081,48.13801077587855
1082,48.97412418480929
1083,49.94334884436987
1084,50.90801957859693
1085,51.85091164237896
1086,52.74570103696375
1087,53.71966149106354
1088,54.594940436340686
1089,55.38922981893162
1090,56.353441445403305
1091,57.36305891762185
1092,58.36473119563821
1093,59.288615095246364
1094,60.04093214839764
1095,60.78533584758925
1096,59.92580469952028
1097,59.090759369834686
1098,58.236049366359
1099,57.537892995751406
1100,56.52645011813762
1101,55.59147739113807
1103,53.82315944491891
1104,52.706889875146175
1105,51.84979592701131
1106,50.82018692924664
1107,49.79111174650973
1108,48.93597445224736
1109,47.99239226923676
1110,47.02922905889458
1111,46.09035062843881
1112,45.08700973915993
1113,44.07508881765218
1114,43.321072727773064
1115,42.29708285865028
1116,41.39813358778688
1117,40.63030104996439
1118,39.61628223179976
1119,38.66200825913415
1120,37.660624510592065
1121,36.68347418269209
1122,35.73105381977453
1123,34.703693505581484
1124,33.70998391456933
1125,32.72994013424721
1126,31.74912950865104
1127,30.818689387384087
1128,29.956102419036355
1130,29.027080648756336
1131,28.111022610165147
1132,27.102557380267037
1133,26.22507863442226
1134,25.646944547772634
1135,24.921819236892553
1136,23.840626396509386
1137,22.921171081818297
1138,21.98252773960681
1139,20.976363227776325
1140,20.037495320386885
1141,19.133739907333258
1142,18.157585861758033
1143,17.069189107956607
1144,16.18077273640199
1145,15.367196765958825
1146,14.311089344915246
1147,13.27087536686108
1148,12.346517411679635
1149,11.427202839199897
1150,10.41378577309386
1151,9.416500908853026
1152,8.469280730963206
1153,7.390185819997642
1154,6.844319816370093
1155,6.348007257247149
1156,6.232705817784386
1157,6.29634009280345
1158,6.596890093595404
1159,6.639870483651138
1160,6.562470675953159
1161,6.611248646010802
1162,6.731850911040066
1163,6.852388747709264
1164,7.633852968131248
1165,8.783951226263822
1166,9.71916514726259
1167,10.653247339664707
1168,11.477125857916215
1169,12.58398004637969
1170,12.484441219559804
1171,11.585278047276695
1172,10.73788175635087
1173,9.835690808607966
1174,9.113466599011232
1175,8.665517996977371
1176,7.699578956722378
1177,6.810690343500964
1178,5.964249496670994
1179,5.347786099494779
1180,4.5319596218163225
1181,3.7416795016550672
1182,3.1908616483259453
1183,3.18946848227631
1184,3.7140697848881294
1185,4.585517973759705
1186,5.53039078570693
1187,6.530391941768043
1188,7.429287323791467
1189,7.7171971784902365
1190,8.070359889555904
1191,9.033849787833649
1192,9.974833411064584
1193,10.876394300912718
1194,11.962616068616393
1195,12.847256723866023
1196,13.90498903014666
1197,14.497116679045712
1199,16.04177831725252
1200,16.994222111718326
1201,17.923333664088442
1202,18.882480162038625
1203,19.749986747107467
1204,19.251974200340815
1205,18.239152450247307
1206,17.26632049979421
1207,16.65240265071608
1208,16.090388682235364
1209,15.21878546041579
1211,13.525902473295035
1212,12.556663989729067
1213,11.566088983842025
1214,10.780385739920096
1215,9.692944091499246
1216,8.676370602836696
1217,7.845922608478176
1218,6.924310248510665
1219,6.181399864711727
1220,5.620519707552211
1221,5.061070939987994
1222,4.690029201776502
1223,4.221583621033487
1224,4.003586905760718
1225,4.36834784099761
1226,4.499750627185741
1227,4.692097082390227
1228,5.095029150621025
1229,5.3937230445442585
1230,5.924218956608372
1231,6.7241864902425315
1232,7.595304263220679
1233,8.32269931252021
1234,9.28425225526233
1235,9.594994955978413
1236,9.461372766995288
1237,10.118747420194682
1238,10.788381461672618
1239,11.472211750805402
1240,12.100962973612667
1241,12.65942242752451
1242,13.14683010835469
1243,14.017033779737458
1244,14.823420235812344
1245,15.35884647904567
1246,16.21026386092568
1247,16.835311298220905
1248,17.48466802633049
1249,18.25685731107158
1250,19.31950930418673
1251,18.773289220219656
1252,18.02459308235633
1253,17.23562385461716
1254,16.44055535390123
1255,15.695968972509682
1256,14.762337130510797
1257,13.917757091491302
1258,13.098271280986898
1259,12.192308728527324
1260,11.634588365542932
1261,10.756146279916413
1262,9.790153003667818
1263,8.900782549459109
1264,7.863056957158588
1265,6.853113557180362
1266,5.898752396744608
1267,5.318181165011083
1268,4.856650697600259
1269,4.564367707512416
1270,4.077416184137272
1271,3.561707891152248
1272,3.254918640898316
1273,3.263495863773251
1274,3.564735989539002
1275,4.136590411854447
1276,4.946862976218547
1277,5.686549226508287
1278,5.909205172617443
1279,6.380881499777815
1280,7.107617894556909
1281,7.679930148466318
1282,8.699369666218788
1283,9.503529236462828
1284,10.529133197824732
1285,11.449810145236306
1286,12.265371888180288
1287,12.890355078481342
1288,13.33359508510971
1289,13.13797384297118
1290,12.297193198276938
1291,11.249434697358021
1292,10.24173625485304
1293,9.38197686768386
1294,8.308859239918016
1295,7.591879803686729
1296,6.958409753193148
1297,5.907466320192188
1298,5.009716072980493
1299,4.059154580633999
1300,3.0340227272529208
1301,2.0913015397027794
1302,1.1236104212403735
1303,0.5420259278489447
1304,1.039626573769799
1305,1.9896869422939694
1306,2.7620371895924274
